年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2021,7,1,3,18,臺中市,南屯區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,25,2,9,1,1,C03,7,5,1,10,2,12,,25,25,1,22,8,C03,120.646943,24.129433,2
2021,7,1,4,52,臺中市,潭子區,0,1,0,8,2,5,60,4,1,1,5,4,5,7,1,1,10,5,5,2,15,25,2,9,1,1,B03,7,9,1,8,2,4,,25,25,1,22,8,B03,120.688744,24.217458,2
2021,7,1,6,16,臺中市,大里區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,C03,,,1,,2,,,16,16,1,4,,C03,120.695754,24.11128,3
2021,7,1,6,40,臺中市,沙鹿區,0,0,0,8,,,40,,,,,,,,,,,,,,,18,,,,,B12,,,1,,2,,,18,18,1,3,,B12,120.560952,24.209224,3
2021,7,1,6,47,臺中市,梧棲區,0,0,0,8,,,60,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,23,1,,,B03,120.525713,24.225558,3
2021,7,1,6,52,臺中市,清水區,1,0,0,8,2,5,30,5,1,1,5,4,5,7,1,1,10,5,5,2,15,25,1,1,1,1,C03,7,9,1,10,2,12,11,25,25,1,5,5,C03,120.575785,24.278105,1
2021,7,1,6,56,臺中市,西區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,2,13,16,2,9,1,1,C03,7,9,1,10,2,11,,16,16,1,5,1,C03,120.659047,24.146748,2
2021,7,1,7,2,臺中市,南屯區,1,1,0,8,1,5,40,14,8,1,5,4,5,7,4,4,3,4,3,2,12,23,2,9,1,1,C03,7,9,1,10,2,11,,23,23,1,22,8,C03,120.595033,24.156897,1
2021,7,1,7,3,臺中市,大雅區,0,0,0,8,,,60,,,,,,,,,,,,,,,26,,,,,B03,,,1,,2,,,26,26,1,22,,B03,120.646776,24.222582,3
2021,7,1,7,4,臺中市,龍井區,0,0,0,8,,,40,,,,,,,,,,,,,,,19,,,,,B03,,,1,,2,,,19,19,1,12,,B03,120.5336,24.220592,3
2021,7,1,7,13,臺中市,潭子區,0,1,0,8,1,5,50,14,8,1,5,4,5,7,4,4,5,5,4,2,12,17,3,10,1,1,B03,7,9,1,8,2,2,,17,17,1,22,9,B03,120.705267,24.23138,2
2021,7,1,7,13,臺中市,沙鹿區,0,1,0,8,1,5,40,4,1,1,5,4,5,7,1,1,10,5,5,2,16,42,2,7,1,1,C03,7,9,1,10,2,11,,42,42,1,9,1,C03,120.57069,24.199014,2
2021,7,1,7,19,臺中市,潭子區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,23,1,22,,B03,120.688178,24.215323,3
2021,7,1,7,24,臺中市,西屯區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,9,3,10,1,1,B03,7,6,1,8,2,8,,9,9,1,22,8,B03,120.634737,24.17219,2
2021,7,1,7,24,臺中市,西屯區,0,1,0,8,1,5,25,11,9,1,5,4,5,7,4,4,5,5,5,1,11,26,3,10,1,1,B03,7,9,1,8,2,4,,26,26,1,22,8,B03,120.620818,24.199395,2
2021,7,1,7,37,臺中市,西屯區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,9,5,5,2,16,43,3,10,3,4,B03,7,5,1,8,2,4,,43,43,1,21,8,B03,120.610723,24.169975,2
2021,7,1,7,37,臺中市,太平區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,3,10,1,1,B03,7,9,1,8,2,5,,6,6,1,21,8,B03,120.722588,24.157321,2
2021,7,1,7,44,臺中市,龍井區,0,1,0,8,1,5,50,5,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,B03,7,5,1,8,2,4,,6,6,1,12,8,B03,120.547607,24.183519,2
2021,7,1,7,48,臺中市,北屯區,0,0,0,8,,,30,,,,,,,,,,,,,,,6,,,,,B01,,,1,,1,,,6,6,1,21,,B01,120.68891,24.202433,3
2021,7,1,7,52,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,26,,,,,B03,,,1,,2,,,26,26,1,21,,B03,120.68047,24.200907,3
2021,7,1,7,53,臺中市,東區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,9,5,5,2,3,23,2,9,1,1,C03,7,9,1,10,2,12,,23,23,1,22,8,C03,120.694375,24.134882,2
2021,7,1,7,55,臺中市,太平區,0,1,0,8,1,5,50,8,8,1,4,4,5,7,4,4,5,4,4,2,5,23,3,10,2,1,F01,7,9,8,20,2,16,,23,23,1,9,1,F01,120.723132,24.112,2
2021,7,1,7,56,臺中市,豐原區,0,2,0,8,1,5,30,14,9,1,5,4,5,7,4,4,10,5,5,2,16,6,2,9,1,1,C03,7,5,1,10,2,15,,6,6,1,22,8,C03,120.741603,24.254287,2
2021,7,1,7,59,臺中市,西區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,17,23,2,9,1,1,C03,7,9,1,10,2,11,,23,23,1,5,5,C03,120.676871,24.139886,2
2021,7,1,7,59,臺中市,沙鹿區,0,0,0,8,1,5,30,14,9,1,5,4,5,7,4,4,10,5,5,2,17,6,3,10,3,4,B03,7,20,1,10,2,1,,6,6,1,4,1,B03,120.619585,24.237385,3
2021,7,1,8,0,臺中市,清水區,0,2,0,8,1,5,30,4,1,1,5,4,5,7,4,4,10,4,4,1,16,6,2,7,1,1,C03,7,9,1,10,2,12,,6,6,1,5,5,C03,120.582997,24.288976,2
2021,7,1,8,3,臺中市,南屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,3,10,1,1,C03,7,9,1,10,2,12,,6,6,1,22,8,C03,120.643044,24.135432,2
2021,7,1,8,6,臺中市,南區,0,1,0,8,1,5,50,14,7,1,5,4,5,7,4,4,1,4,5,2,17,23,2,9,1,1,C03,7,9,1,10,2,15,,23,23,1,22,8,C03,120.644795,24.109904,2
2021,7,1,8,7,臺中市,大雅區,0,0,0,8,,,50,,,,,,,,,,,,,,,7,,,,,B03,,,1,,2,,,7,7,1,,,B03,120.65005,24.212034,3
2021,7,1,8,7,臺中市,北屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,26,2,9,1,1,C03,7,9,1,10,2,14,,26,26,1,21,8,C03,120.717806,24.190917,2
2021,7,1,8,10,臺中市,大里區,0,0,0,8,,,60,,,,,,,,,,,,,,,42,,,,,B03,,,6,,2,,,42,42,1,21,,B03,120.685548,24.103137,3
2021,7,1,8,12,臺中市,西屯區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,17,6,3,10,1,1,B03,7,6,1,8,1,2,,6,6,1,21,8,B03,120.624557,24.182064,2
2021,7,1,8,15,臺中市,大雅區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,1,1,5,5,5,1,16,25,2,8,1,1,C03,7,5,1,10,2,11,,25,25,1,22,9,C03,120.670913,24.226971,2
2021,7,1,8,16,臺中市,北區,0,0,0,8,,,40,,,,,,,,,,,,,,,19,,,,,B03,,,1,,2,,,19,19,1,20,,B03,120.668966,24.156902,3
2021,7,1,8,30,臺中市,豐原區,0,0,0,8,,,50,,,,,,,,,,,,,,,17,,,,,B03,,,1,,9,,,17,17,1,22,,B03,120.718972,24.249272,3
2021,7,1,8,31,臺中市,西屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,9,2,4,2,12,26,3,10,3,4,B03,7,6,1,8,1,2,,26,26,1,22,9,B03,120.656093,24.169407,2
2021,7,1,8,41,臺中市,西屯區,0,1,0,8,1,5,40,14,8,1,5,4,5,7,4,4,1,5,1,2,13,16,3,10,1,1,C03,7,9,1,10,2,11,,16,16,1,22,8,C03,120.65448,24.16006,2
2021,7,1,8,49,臺中市,南屯區,0,0,0,8,,,80,,,,,,,,,,,,,,,42,,,,,B12,,,1,,11,,,42,42,1,22,,B12,120.62286,24.14087,3
2021,7,1,8,49,臺中市,北屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,9,1,1,C03,7,9,1,10,2,11,,6,6,1,21,8,C03,120.679417,24.178393,2
2021,7,1,8,49,臺中市,新社區,0,0,0,,,,50,,,,,,,,,,,,,,,25,,,,,B12,,,1,,2,,,25,25,1,21,,B12,120.791817,24.269255,3
2021,7,1,8,56,臺中市,西區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,17,6,3,10,1,1,B12,7,5,1,8,1,4,,6,6,1,5,5,B12,120.667598,24.146745,2
2021,7,1,8,58,臺中市,太平區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,5,5,5,2,16,6,3,10,1,1,B03,7,5,1,8,2,8,,6,6,1,21,8,B03,120.717669,24.158489,2
2021,7,1,9,3,臺中市,潭子區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,3,1,5,5,4,2,15,6,3,10,1,1,B03,7,9,1,8,2,1,,6,6,1,22,9,B03,120.693345,24.218167,2
2021,7,1,9,7,臺中市,潭子區,0,0,0,8,,,50,,,,,,,,,,,,,,,6,,,,,B03,,,1,,2,,,6,6,1,22,,B03,120.709307,24.229868,3
2021,7,1,9,9,臺中市,西屯區,1,0,0,8,1,5,50,3,9,1,5,4,5,7,1,1,5,5,5,2,12,43,3,10,1,1,B12,7,6,1,7,2,4,,43,43,1,22,8,B12,120.59815,24.16308,1
2021,7,1,9,19,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,9,,,,,B02,,,1,,1,,,9,9,1,21,,B02,120.688705,24.181902,3
2021,7,1,9,25,臺中市,北屯區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,1,4,5,2,16,23,2,9,1,1,C03,7,9,1,10,2,12,,23,23,1,21,8,C03,120.694297,24.165333,2
2021,7,1,9,25,臺中市,大里區,0,1,0,8,1,5,60,4,1,1,5,4,5,7,1,1,10,5,5,2,16,26,2,9,1,1,C03,7,9,1,10,2,11,,26,26,1,1,8,C03,120.668094,24.104052,2
2021,7,1,9,28,臺中市,沙鹿區,0,2,0,8,1,5,40,14,11,1,5,4,5,7,4,4,1,4,2,1,17,42,2,9,1,1,C03,7,4,1,10,9,13,,42,42,2,20,7,C03,120.559869,24.241093,2
2021,7,1,9,30,臺中市,太平區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,B12,,,1,,2,,,16,16,1,21,,B12,120.723203,24.142349,3
2021,7,1,9,33,臺中市,北屯區,0,0,0,,,,50,,,,,,,,,,,,,,,23,,,,,A04,,,1,,2,,,23,23,1,,,A04,120.661924,24.189465,3
2021,7,1,9,40,臺中市,潭子區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,4,4,5,1,13,7,3,10,1,1,B03,7,8,1,8,2,6,,7,7,1,22,8,B03,120.723125,24.215552,2
2021,7,1,9,40,臺中市,西屯區,0,0,0,8,,,30,,,,,,,,,,,,,,,43,,,,,C03,,,1,,1,,,43,43,1,,,C03,120.665461,24.169227,3
2021,7,1,9,51,臺中市,北區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,1,1,10,5,5,2,18,23,2,9,1,1,C03,7,12,1,10,2,14,,23,23,1,22,9,C03,120.693385,24.160493,2
2021,7,1,10,8,臺中市,大甲區,0,2,0,8,1,5,50,5,1,1,5,4,5,7,1,1,10,5,5,2,12,8,2,9,1,1,F03,7,5,8,20,2,16,,8,8,1,4,8,F03,120.629828,24.345302,2
2021,7,1,10,17,臺中市,西區,0,0,0,8,,,30,,,,,,,,,,,,,,,6,,,,,C03,,,1,,1,,,6,6,1,5,,C03,120.657829,24.146712,3
2021,7,1,10,18,臺中市,北區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,4,5,2,16,44,3,10,1,1,B03,7,6,1,8,2,2,,44,44,1,5,8,B03,120.685768,24.155412,2
2021,7,1,10,29,臺中市,大雅區,0,0,0,8,,,30,,,,,,,,,,,,,,,23,,,,,C03,,,1,,2,,,23,23,1,22,,C03,120.630805,24.236959,3
2021,7,1,10,29,臺中市,西屯區,0,0,0,8,,,40,,,,,,,,,,,,,,,17,,,,,B12,,,1,,1,,,17,17,1,,,B12,120.617659,24.161888,3
2021,7,1,10,32,臺中市,西區,0,0,0,8,,,50,,,,,,,,,,,,,,,18,,,,,B03,,,1,,1,,,18,18,1,5,,B03,120.672521,24.133189,3
2021,7,1,10,43,臺中市,豐原區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,17,42,2,9,3,4,C03,7,9,1,10,2,12,,42,42,1,22,9,C03,120.725347,24.254942,2
2021,7,1,10,45,臺中市,大里區,0,0,0,8,,,50,,,,,,,,,,,,,,,17,,,,,B02,,,1,,2,,,17,17,1,21,,B02,120.68906,24.104892,3
2021,7,1,10,48,臺中市,南區,0,0,0,,,,40,,,,,,,,,,,,,,,12,,,,,B03,,,1,,2,,,12,12,1,21,,B03,120.656752,24.113942,3
2021,7,1,10,49,臺中市,大雅區,0,0,0,8,,,50,,,,,,,,,,,,,,,48,,,,,B03,,,1,,2,,,48,48,1,,,B03,120.602252,24.221086,3
2021,7,1,11,0,臺中市,北屯區,0,0,0,8,,,30,,,,,,,,,,,,,,,17,,,,,A11,,,1,,11,,,17,17,1,10,,A11,120.700238,24.170403,3
2021,7,1,11,3,臺中市,西區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,15,25,3,10,1,1,B03,7,9,1,8,2,8,,25,25,1,21,5,B03,120.668582,24.13533,2
2021,7,1,11,9,臺中市,北屯區,0,4,0,8,1,5,50,5,1,1,5,4,5,7,1,1,5,5,5,2,16,6,2,9,1,1,C03,7,5,1,10,2,14,,6,6,1,18,8,C03,120.696494,24.179824,2
2021,7,1,11,11,臺中市,西區,0,0,0,8,1,5,50,4,2,1,5,4,5,7,4,4,10,5,5,2,17,10,,,,,B03,,,1,,1,,,10,10,1,5,,B03,120.6609,24.14675,3
2021,7,1,11,12,臺中市,西區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,B03,,,1,,1,,,16,16,1,,,B03,120.675427,24.133551,3
2021,7,1,11,14,臺中市,西屯區,0,2,0,8,1,5,40,14,8,1,5,4,5,7,4,4,1,4,1,2,13,23,2,9,1,1,C03,7,9,1,10,2,11,,23,23,1,21,8,C03,120.654265,24.159865,2
